,Director,Average Rating,Major Genre
312,Jennifer Kent,6.8,Drama
313,Peter Jackson,7.237500000000001,Adventure
314,David Yates,7.55,Adventure
315,Bong Joon Ho,7.0,Action
316,J Blakeson,5.2,Action
317,Dan Berk,5.3,Action
318,M. Night Shyamalan,5.109375,Comedy
319,Justin Lin,6.762499999999999,Action
320,Anne Fletcher,6.6,Crime
321,So Yong Kim,6.4,Drama
322,Guy Ritchie,7.4375,Action
323,Andrew Niccol,6.300000000000001,Action
324,David Fincher,7.78125,Biography
325,Breck Eisner,6.0,Action
326,Paul McGuigan,6.9,Drama
327,Roger Spottiswoode,7.4,Biography
328,Jeremy Saulnier,7.0,Crime
329,Michael Mann,6.2,Crime
330,Nicholas Stoller,6.575,Animation
331,Clint Eastwood,7.8,Action
332,Jean-Marc Vallée,7.3,Biography
333,Steven Spielberg,6.725,Biography
334,Ron Howard,6.8125,Action
335,Mike Flanagan,6.3625,Drama
336,David O. Russell,7.4375,Comedy
337,Alexi Pappas,5.9,Drama
338,Josh Boone,7.8,Drama
339,Frank Coraci,5.65,Comedy
340,Justin Lin,6.762499999999999,Action
341,Rian Johnson,7.4,Action
342,Roland Emmerich,5.824999999999999,Action
343,David Lowery,6.8,Adventure
344,Sam Raimi,6.25,Action
345,Paul W.S. Anderson,5.93125,Action
346,Matthew Vaughn,7.7125,Adventure
347,David O. Russell,7.4375,Crime
348,Karyn Kusama,5.9,Comedy
349,Woody Allen,7.1125,Comedy
350,William Oldroyd,7.3,Drama
351,David O. Russell,7.4375,Drama
352,Jocelyn Moorhouse,7.1,Comedy
353,Woody Allen,7.1125,Comedy
354,Robert Schwentke,6.55,Adventure
355,Sergei Bodrov,5.5,Action
356,Hugo Gélin,7.4,Comedy
357,James Marsh,7.7,Biography
358,Evan Goldberg,6.6,Comedy
359,Richard Curtis,7.8,Comedy
360,Adam McKay,6.8125,Comedy
361,Jon Watts,5.7,Horror
362,J.J. Abrams,7.206250000000001,Action
363,Ruben Fleischer,7.2,Adventure
364,Ethan Coen,7.3999999999999995,Comedy
365,Danny Boyle,7.262499999999999,Drama
366,Bill Condon,5.2,Adventure
367,Alex Ranarivelo,6.9,Drama
368,Marc Webb,7.275,Action
369,Timur Bekmambetov,6.2,Action
370,J.D. Dillard,6.0,Action
371,Wes Ball,6.55,Action
372,Ariel Vromen,6.3,Action
373,Timur Bekmambetov,6.2,Action
374,Stephen Frears,6.9,Biography
375,Eran Creevy,5.7,Action
376,Scott Cooper,6.85,Biography
377,Ryan Coogler,7.6,Drama
378,Dan Kwan,7.1,Adventure
379,Patrick Hughes,6.1,Action
380,Jemaine Clement,7.6,Comedy
381,Antoine Fuqua,7.03125,Drama
382,Mike Flanagan,6.3625,Horror
383,Steven Spielberg,6.725,Drama
384,Phil Lord,7.475,Animation
385,Baltasar Kormákur,7.1,Action
386,Chris Columbus,5.75,Action
387,Ridley Scott,6.778124999999999,Action
388,James Mangold,6.7,Action
389,Andrew Stanton,7.7,Action
390,Peter Atencio,6.3,Action
391,Pierre Morel,6.8,Action
392,Danny Boyle,7.262499999999999,Biography
393,Gillies MacKinnon,5.0,Comedy
394,Dennis Dugan,5.725,Comedy
